author,id.x,position,fname,lastn,gender,pubtitle,date,id.y
"Degol, Jessica",233,2,Jessica,Degol,female,Developmental Review,2013,312
"Dehghani, Morteza",151,4,Morteza,Dehghani,NA,Computers & Education,2016,1544
"DeLaine, Kendra",498,4,Kendra,DeLaine,female,Review of Research in Education,2018,315
"Delgado-Fernandez, Irene",520,6,Irene,Delgado-Fernandez,female,Palgrave Communications,2018,316
"Dell, Elizabeth",69,1,Elizabeth,Dell,female,Proceedings of the ASEE Annual Conference & Exposition,2015,318
"Dell, Elizabeth",69,1,Elizabeth,Dell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,317
"Dell, Elizabeth",96,3,Elizabeth,Dell,female,Proceedings of the ASEE Annual Conference & Exposition,2015,318
"Dell, Elizabeth",96,3,Elizabeth,Dell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,317
"Demetry, Chrysanthe",65,1,Chrysanthe,Demetry,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,319
"Dennehy, Tara",337,1,Tara,Dennehy,female,Proceedings of the National Academy of Sciences of the United States of America,2017,320
"Denson, Nida",572,2,Nida,Denson,female,Research in Higher Education,2013,321
"Depot, Mark",463,4,Mark,Depot,male,Journal of Career Development,2013,1545
"Desai, Anand",522,3,Anand,Desai,male,Innovative Higher Education,2015,1546
"Deville, Curtiland",149,10,Curtiland,Deville,NA,Advances in Radiation Oncology,2018,1547
"DeWitt, Jen",585,4,Jen,DeWitt,male,Sex Roles,2017,1548
"DeWitt, Jennifer.",436,4,Jennifer.,DeWitt,NA,American Educational Research Journal,2017,322
"Di Stefano, Marialusia",85,3,Marialusia,Di Stefano,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,323
"Diaz, Ismael",118,2,Ismael,Diaz,male,Journal of Women and Minorities in Science and Engineering,2017,1549
"DiBartolo, Patricia Marten",59,8,Patricia Marten,DiBartolo,NA,Cell Biology Education,2017,324
"Dickinson, Sarah",140,3,Sarah,Dickinson,female,Contemporary Issues in Education Research,2011,325
"Dickson, Nancy",86,2,Nancy,Dickson,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,326
"Diekman, Amanda",326,2,Amanda,Diekman,female,Personality and Social Psychology Bulletin,2017,329
"Diekman, Amanda",326,2,Amanda,Diekman,female,Social Issues and Policy Review,2018,333
"Diekman, Amanda",326,2,Amanda,Diekman,female,Social Sciences,2017,334
"Diekman, Amanda",326,2,Amanda,Diekman,female,Personality and Social Psychology Review,2017,330
"Diekman, Amanda",326,2,Amanda,Diekman,female,Frontiers in Psychology,2017,327
"Diekman, Amanda",326,2,Amanda,Diekman,female,Social Issues and Policy Review,2015,332
"Diekman, Amanda",326,2,Amanda,Diekman,female,Journal of personality and social psychology,2011,328
"Diekman, Amanda",326,2,Amanda,Diekman,female,Psychological Science,2010,331
"Diekman, Amanda",643,1,Amanda,Diekman,female,Personality and Social Psychology Bulletin,2017,329
"Diekman, Amanda",643,1,Amanda,Diekman,female,Social Issues and Policy Review,2018,333
"Diekman, Amanda",643,1,Amanda,Diekman,female,Social Sciences,2017,334
"Diekman, Amanda",643,1,Amanda,Diekman,female,Personality and Social Psychology Review,2017,330
"Diekman, Amanda",643,1,Amanda,Diekman,female,Frontiers in Psychology,2017,327
"Diekman, Amanda",643,1,Amanda,Diekman,female,Social Issues and Policy Review,2015,332
"Diekman, Amanda",643,1,Amanda,Diekman,female,Journal of personality and social psychology,2011,328
"Diekman, Amanda",643,1,Amanda,Diekman,female,Psychological Science,2010,331
"Diekman, Amanda",644,1,Amanda,Diekman,female,Personality and Social Psychology Bulletin,2017,329
"Diekman, Amanda",644,1,Amanda,Diekman,female,Social Issues and Policy Review,2018,333
"Diekman, Amanda",644,1,Amanda,Diekman,female,Social Sciences,2017,334
"Diekman, Amanda",644,1,Amanda,Diekman,female,Personality and Social Psychology Review,2017,330
"Diekman, Amanda",644,1,Amanda,Diekman,female,Frontiers in Psychology,2017,327
"Diekman, Amanda",644,1,Amanda,Diekman,female,Social Issues and Policy Review,2015,332
"Diekman, Amanda",644,1,Amanda,Diekman,female,Journal of personality and social psychology,2011,328
"Diekman, Amanda",644,1,Amanda,Diekman,female,Psychological Science,2010,331
"Diekman, Amanda",226,3,Amanda,Diekman,female,Personality and Social Psychology Bulletin,2017,329
"Diekman, Amanda",226,3,Amanda,Diekman,female,Social Issues and Policy Review,2018,333
"Diekman, Amanda",226,3,Amanda,Diekman,female,Social Sciences,2017,334
"Diekman, Amanda",226,3,Amanda,Diekman,female,Personality and Social Psychology Review,2017,330
"Diekman, Amanda",226,3,Amanda,Diekman,female,Frontiers in Psychology,2017,327
"Diekman, Amanda",226,3,Amanda,Diekman,female,Social Issues and Policy Review,2015,332
"Diekman, Amanda",226,3,Amanda,Diekman,female,Journal of personality and social psychology,2011,328
"Diekman, Amanda",226,3,Amanda,Diekman,female,Psychological Science,2010,331
"Diekman, Amanda",480,1,Amanda,Diekman,female,Personality and Social Psychology Bulletin,2017,329
"Diekman, Amanda",480,1,Amanda,Diekman,female,Social Issues and Policy Review,2018,333
"Diekman, Amanda",480,1,Amanda,Diekman,female,Social Sciences,2017,334
"Diekman, Amanda",480,1,Amanda,Diekman,female,Personality and Social Psychology Review,2017,330
"Diekman, Amanda",480,1,Amanda,Diekman,female,Frontiers in Psychology,2017,327
"Diekman, Amanda",480,1,Amanda,Diekman,female,Social Issues and Policy Review,2015,332
"Diekman, Amanda",480,1,Amanda,Diekman,female,Journal of personality and social psychology,2011,328
"Diekman, Amanda",480,1,Amanda,Diekman,female,Psychological Science,2010,331
"Diekman, Amanda",50,1,Amanda,Diekman,female,Personality and Social Psychology Bulletin,2017,329
"Diekman, Amanda",50,1,Amanda,Diekman,female,Social Issues and Policy Review,2018,333
"Diekman, Amanda",50,1,Amanda,Diekman,female,Social Sciences,2017,334
"Diekman, Amanda",50,1,Amanda,Diekman,female,Personality and Social Psychology Review,2017,330
"Diekman, Amanda",50,1,Amanda,Diekman,female,Frontiers in Psychology,2017,327
"Diekman, Amanda",50,1,Amanda,Diekman,female,Social Issues and Policy Review,2015,332
"Diekman, Amanda",50,1,Amanda,Diekman,female,Journal of personality and social psychology,2011,328
"Diekman, Amanda",50,1,Amanda,Diekman,female,Psychological Science,2010,331
"Diekman, Amanda",472,2,Amanda,Diekman,female,Personality and Social Psychology Bulletin,2017,329
"Diekman, Amanda",472,2,Amanda,Diekman,female,Social Issues and Policy Review,2018,333
"Diekman, Amanda",472,2,Amanda,Diekman,female,Social Sciences,2017,334
"Diekman, Amanda",472,2,Amanda,Diekman,female,Personality and Social Psychology Review,2017,330
"Diekman, Amanda",472,2,Amanda,Diekman,female,Frontiers in Psychology,2017,327
"Diekman, Amanda",472,2,Amanda,Diekman,female,Social Issues and Policy Review,2015,332
"Diekman, Amanda",472,2,Amanda,Diekman,female,Journal of personality and social psychology,2011,328
"Diekman, Amanda",472,2,Amanda,Diekman,female,Psychological Science,2010,331
"Diekman, Amanda",476,1,Amanda,Diekman,female,Personality and Social Psychology Bulletin,2017,329
"Diekman, Amanda",476,1,Amanda,Diekman,female,Social Issues and Policy Review,2018,333
"Diekman, Amanda",476,1,Amanda,Diekman,female,Social Sciences,2017,334
"Diekman, Amanda",476,1,Amanda,Diekman,female,Personality and Social Psychology Review,2017,330
"Diekman, Amanda",476,1,Amanda,Diekman,female,Frontiers in Psychology,2017,327
"Diekman, Amanda",476,1,Amanda,Diekman,female,Social Issues and Policy Review,2015,332
"Diekman, Amanda",476,1,Amanda,Diekman,female,Journal of personality and social psychology,2011,328
"Diekman, Amanda",476,1,Amanda,Diekman,female,Psychological Science,2010,331
"Dilli, Selin",595,1,Selin,Dilli,female,Small Business Economics,2018,335
"Dillon-Lieberman, Kristin",463,10,Kristin,Dillon-Lieberman,female,Journal of Career Development,2013,336
"DiPrete, Thomas",211,2,Thomas,DiPrete,male,Social science research,2013,1550
"Dissanayake, Kalpani",83,4,Kalpani,Dissanayake,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,338
"Doerschuk, Peggy",546,1,Peggy,Doerschuk,female,Journal of Science Education and Technology,2016,339
"Dolan, Erin",56,8,Erin,Dolan,female,CBE Life Sciences Education,2017,340
"Dolliver, Holly",519,4,Holly,Dolliver,female,Soil Science Society of America Journal,2018,341
"Domingo, Carmen",103,5,Carmen,Domingo,female,ACM Conference on Innovation and Technology in Computer Science Education,2018,342
"Dorph, Rena",406,1,Rena,Dorph,female,International Journal of Science Education,2018,343
"Dortch, Deniece",420,1,Deniece,Dortch,NA,NASPA Journal About Women in Higher Education,2017,344
"Doty, Heather",76,1,Heather,Doty,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,345
"Dovidio, John",49,4,John,Dovidio,male,Journal of Experimental Psychology: Applied,2018,1551
"Drake, Abby Grace",350,4,Abby Grace,Drake,NA,BioScience,2018,346
"Dresden, Alexander",330,2,Alexander,Dresden,male,Social Sciences,2018,1552
"Dresden, Brooke",330,1,Brooke,Dresden,female,Social Sciences,2018,347
"Drew, Jennifer",54,1,Jennifer,Drew,female,CBE Life Sciences Education,2016,348
"Drezner, Noah",568,3,Noah,Drezner,male,Research in Higher Education,2009,1553
"Drury, Benjamin",367,1,Benjamin,Drury,male,Psychology of Women Quarterly,2013,1555
"Drury, Benjamin",367,1,Benjamin,Drury,male,Psychological Inquiry,2011,1554
"Drury, Benjamin",367,1,Benjamin,Drury,male,Social Psychological and Personality Science,2011,1556
"Drury, Benjamin",488,2,Benjamin,Drury,male,Psychology of Women Quarterly,2013,1555
"Drury, Benjamin",488,2,Benjamin,Drury,male,Psychological Inquiry,2011,1554
"Drury, Benjamin",488,2,Benjamin,Drury,male,Social Psychological and Personality Science,2011,1556
"Drury, Benjamin",502,4,Benjamin,Drury,male,Psychology of Women Quarterly,2013,1555
"Drury, Benjamin",502,4,Benjamin,Drury,male,Psychological Inquiry,2011,1554
"Drury, Benjamin",502,4,Benjamin,Drury,male,Social Psychological and Personality Science,2011,1556
"Duan, Xiaoju",154,2,Xiaoju,Duan,NA,Computers & Education,2013,349
"Duch, Jordi",368,2,Jordi,Duch,male,PLoS Biology,2016,1558
"Dugan, John",279,1,John,Dugan,male,Journal of Leadership Studies,2013,1559
"Dulac, Catherine",136,9,Catherine,Dulac,female,Cell Stem Cell,2015,350
"Dunlap, Sarah",586,2,Sarah,Dunlap,female,Sex Roles,2016,351
"Dupont, Brandon",174,3,Brandon,Dupont,male,Journal of Economic Psychology,2008,1560
"Duran, Kelly",358,4,Kelly,Duran,female,Social Cognitive and Affective Neuroscience,2018,352
"Durmowicz, Meredith",221,2,Meredith,Durmowicz,female,Forum on Public Policy Online,2010,353
"Durodoye, Raifu",375,2,Raifu,Durodoye,NA,PLoS ONE,2017,1561
"Dyar, Christina",55,2,Christina,Dyar,female,CBE Life Sciences Education,2016,354
"Eagly, Alice",478,1,Alice,Eagly,female,Perspectives on Psychological Science,2016,356
"Easterly, Debra",517,1,Debra,Easterly,female,Journal of Research Administration,2011,357
"Eastwick, Paul",634,3,Paul,Eastwick,male,Journal of Applied Social Psychology,2016,1562
"Eby, Lillian",56,7,Lillian,Eby,female,CBE Life Sciences Education,2017,358
"Eccles, Jacquelynne",185,2,Jacquelynne,Eccles,NA,Psychological Science,2013,361
"Eccles, Jacquelynne",185,2,Jacquelynne,Eccles,NA,Journal of Vocational Behavior,2018,360
"Eccles, Jacquelynne",185,2,Jacquelynne,Eccles,NA,International Journal of Behavioral Development,2016,359
"Eccles, Jacquelynne",454,1,Jacquelynne,Eccles,NA,Psychological Science,2013,361
"Eccles, Jacquelynne",454,1,Jacquelynne,Eccles,NA,Journal of Vocational Behavior,2018,360
"Eccles, Jacquelynne",454,1,Jacquelynne,Eccles,NA,International Journal of Behavioral Development,2016,359
"Eccles, Jacquelynne",479,2,Jacquelynne,Eccles,NA,Psychological Science,2013,361
"Eccles, Jacquelynne",479,2,Jacquelynne,Eccles,NA,Journal of Vocational Behavior,2018,360
"Eccles, Jacquelynne",479,2,Jacquelynne,Eccles,NA,International Journal of Behavioral Development,2016,359
"Eddy, Sarah",373,2,Sarah,Eddy,female,Physical Review Physics Education Research,2016,362
"Eddy, Sarah",373,2,Sarah,Eddy,female,PLoS ONE,2016,363
"Eddy, Sarah",23,1,Sarah,Eddy,female,Physical Review Physics Education Research,2016,362
"Eddy, Sarah",23,1,Sarah,Eddy,female,PLoS ONE,2016,363
"Edge, W. Daniel",332,1,W. Daniel,Edge,NA,Mammal Study,2016,1563
"Edinger-Marshall, Susan",519,10,Susan,Edinger-Marshall,female,Soil Science Society of America Journal,2018,364
"Edwards, Laura",22,4,Laura,Edwards,female,Bulletin of the American Meteorological Society,2013,365
"Edzie, Rosemary",143,1,Rosemary,Edzie,female,7th IEEE GCC Conference and Exhibition (GCC),2015,366
"Eggan, Kevin",136,10,Kevin,Eggan,male,Cell Stem Cell,2015,1564
"Ehrlinger, Joyce",576,1,Joyce,Ehrlinger,female,Sex Roles,2018,367
"Eisenhart, Margaret",419,2,Margaret,Eisenhart,female,Journal of the Learning Sciences,2017,368
"El-Hout, Mona",491,4,Mona,El-Hout,female,Psychology of Women Quarterly,2018,369
"Eledge, Bradley",378,10,Bradley,Eledge,male,PLoS ONE,2018,1565
"Ellis, Jessica",379,1,Jessica,Ellis,female,PLoS ONE,2016,370
"Ellis, Mark",601,2,Mark,Ellis,male,Economic Geography,2017,1566
"Else-Quest, Nicole",492,1,Nicole,Else-Quest,female,Psychology of Women Quarterly,2013,371
"Elton, Sarah",277,7,Sarah,Elton,female,American Journal of Physical Anthropology,2018,372
"Engberg, Mark",146,1,Mark,Engberg,male,Teachers College Record,2013,1567
"Enns, Kellie",8,1,Kellie,Enns,female,Journal of Agricultural Education,2015,373
"Eno, Cassie",580,3,Cassie,Eno,female,Sex Roles,2015,374
"Eno, Cassie",580,3,Cassie,Eno,female,Sex Roles,2017,375
"Eno, Cassie",591,4,Cassie,Eno,female,Sex Roles,2015,374
"Eno, Cassie",591,4,Cassie,Eno,female,Sex Roles,2017,375
"Epple, Dennis",20,2,Dennis,Epple,male,American Economic Review,2016,1568
"Erickson, Alan",99,2,Alan,Erickson,male,Journal of the American Veterinary Medical Association,2012,1569
"Erpen, Ligia",205,2,Ligia,Erpen,female,Scientia Horticulturae,2018,376
"Ertl, Bernhard",239,1,Bernhard,Ertl,NA,Frontiers in Psychology,2017,1570
"Escobar-Alvarez, Sindy",136,11,Sindy,Escobar-Alvarez,female,Cell Stem Cell,2015,377
"Espinosa, Lorelle",243,3,Lorelle,Espinosa,female,Harvard Educational Review,2011,379
"Espinosa, Lorelle",243,3,Lorelle,Espinosa,female,Harvard Educational Review,2011,378
"Espinosa, Lorelle",244,1,Lorelle,Espinosa,female,Harvard Educational Review,2011,379
"Espinosa, Lorelle",244,1,Lorelle,Espinosa,female,Harvard Educational Review,2011,378
"Esson, Joan",404,3,Joan,Esson,male,International Journal of Science Education,2018,1571
"Esteves, Luciana",520,4,Luciana,Esteves,female,Palgrave Communications,2018,380
"Estrada, Mica",46,4,Mica,Estrada,female,Journal of educational psychology,2013,381
"Evangelou, Demetra",559,3,Demetra,Evangelou,female,Motivation and Emotion,2012,382
"Evans, Mara",56,5,Mara,Evans,female,CBE Life Sciences Education,2017,383
"Evans, Riley",603,1,Riley,Evans,female,PRIMUS,2018,384
"Fabert, Natalie",319,4,Natalie,Fabert,female,Social Sciences,2018,385
"Fabiyi, Camille",545,3,Camille,Fabiyi,female,Journal of Science Education and Technology,2017,386
"Faitar, Gheorghita",199,1,Gheorghita,Faitar,NA,Procedia - Social and Behavioral Sciences,2013,387
"Faitar, Silviu",199,2,Silviu,Faitar,NA,Procedia - Social and Behavioral Sciences,2013,1573
"Falconer, Heather",281,3,Heather,Falconer,female,Journal of Research in Science Teaching,2017,388
"Falk, Nikki",457,1,Nikki,Falk,female,Journal of Career Assessment,2017,389
"Fane, Kathleen",275,2,Kathleen,Fane,female,Journal of Medical Internet Research,2018,390
"Fang, Michael",101,2,Michael,Fang,male,Annual Review of Sociology,2015,1574
"Farrell, Lynn",172,1,Lynn,Farrell,female,Journal of Contextual Behavioral Science,2017,391
"Farro, Samantha",620,2,Samantha,Farro,female,Analyses of Social Issues and Public Policy,2013,392
"Fath, Kimberly",279,2,Kimberly,Fath,female,Journal of Leadership Studies,2013,393
"Fautch, Jessica",18,2,Jessica,Fautch,female,Journal of chemical education,2015,394
"Faux, Russell",28,6,Russell,Faux,male,Advances in Physiology Education,2014,1575
"Feeney, Mary",6,1,Mary,Feeney,female,Scientometrics,2010,396
"Feeney, Mary",6,1,Mary,Feeney,female,Science & Public Policy,2014,395
"Feeney, Mary",357,1,Mary,Feeney,female,Scientometrics,2010,396
"Feeney, Mary",357,1,Mary,Feeney,female,Science & Public Policy,2014,395
"Feghali-Bostwick, Carol",324,4,Carol,Feghali-Bostwick,female,Social Sciences,2018,397
"Ferree, Myra",618,2,Myra,Ferree,female,"Gender, Work and Organization",2018,398
"Figuereido, Catia",190,6,Catia,Figuereido,female,Journal of vocational behavior,2013,399
"Finkel, Liza",555,1,Liza,Finkel,female,Journal of Science Education and Technology,2017,400
"Finkelstein, Noah",489,3,Noah,Finkelstein,male,Psychology of Women Quarterly,2017,1576
"Fischer, Emily",374,9,Emily,Fischer,female,PLoS ONE,2017,401
"Fischer, Mary",600,2,Mary,Fischer,female,Social Psychology of Education,2012,402
"Fischer, Stefanie",192,1,Stefanie,Fischer,female,Labour Economics,2017,403
"Fitzpatrick, Mary",190,3,Mary,Fitzpatrick,female,Journal of vocational behavior,2013,404
"Flores, Glenda",362,1,Glenda,Flores,female,Latino Studies,2011,405
"Flores, Lisa",179,2,Lisa,Flores,female,Journal of vocational behavior,2015,406
"Flowers III, Alonzo",217,1,Alonzo,Flowers III,male,Journal for Multicultural Education,2016,1578
"Flowers, Alonzo",402,2,Alonzo,Flowers,male,International Journal of Qualitative Studies in Education,2018,1579
"Fogg-Rogers, Laura",499,1,Laura,Fogg-Rogers,female,Science Communication,2017,407
"Foor, Ryan",10,1,Ryan,Foor,male,Journal of Agricultural Education,2011,1580
"Forbes, Chad",358,1,Chad,Forbes,male,Social Cognitive and Affective Neuroscience,2018,1581
"Forbes, G. Anne",158,4,G. Anne,Forbes,NA,Contemporary Educational Psychology,2018,408
"Forrest, John",111,3,John,Forrest,male,Academic Medicine,2018,1582
"Fosdick, Bailey",379,2,Bailey,Fosdick,female,PLoS ONE,2016,409
"Fossati, Valentina",136,12,Valentina,Fossati,female,Cell Stem Cell,2015,410
"Fouad, Nadya",461,1,Nadya,Fouad,female,Journal of vocational behavior,2013,413
"Fouad, Nadya",461,1,Nadya,Fouad,female,Journal of vocational behavior,2016,414
"Fouad, Nadya",461,1,Nadya,Fouad,female,Journal of Career Assessment,2017,412
"Fouad, Nadya",181,1,Nadya,Fouad,female,Journal of vocational behavior,2013,413
"Fouad, Nadya",181,1,Nadya,Fouad,female,Journal of vocational behavior,2016,414
"Fouad, Nadya",181,1,Nadya,Fouad,female,Journal of Career Assessment,2017,412
"Fouad, Nadya",190,2,Nadya,Fouad,female,Journal of vocational behavior,2013,413
"Fouad, Nadya",190,2,Nadya,Fouad,female,Journal of vocational behavior,2016,414
"Fouad, Nadya",190,2,Nadya,Fouad,female,Journal of Career Assessment,2017,412
"Fox, Mary Frank",448,1,Mary Frank,Fox,NA,Gender & Society,2011,415
"Franchetti, Matthew",257,1,Matthew,Franchetti,male,Journal of STEM Education : Innovations and Research,2010,1583
"Francis, Becky",585,1,Becky,Francis,female,American Educational Research Journal,2017,416
"Francis, Becky",585,1,Becky,Francis,female,Sex Roles,2017,417
"Francis, Becky",436,3,Becky,Francis,female,American Educational Research Journal,2017,416
"Francis, Becky",436,3,Becky,Francis,female,Sex Roles,2017,417
"Francisco, Matthew",548,4,Matthew,Francisco,male,Journal of Science Education and Technology,2016,1584
"Frasch, Karie",440,3,Karie,Frasch,female,Annals of the American Academy of Political and Social Science,2011,418
"Freeland, Edward",11,4,Edward,Freeland,male,Science,2014,1585
"Freeman, Jen",287,3,Jen,Freeman,male,Science Education,2018,1586
"Freeman, Kimberly",498,2,Kimberly,Freeman,female,Review of Research in Education,2018,419
"Freeman, Scott",381,4,Scott,Freeman,male,Chemistry Education Research and Practice,2018,1587
"Freese, Shelby",80,2,Shelby,Freese,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,420
"Friedman, Hershey",4,2,Hershey,Friedman,NA,Journal of Research in Gender Studies,2018,1588
"Friedman, Jane",603,2,Jane,Friedman,female,PRIMUS,2018,422
"Froyd, Jeffrey",66,2,Jeffrey,Froyd,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,1589
"Fry, Nancy",468,4,Nancy,Fry,female,Journal of Psychoeducational Assessment,2012,423
"Fuchs, Elaine",136,13,Elaine,Fuchs,female,Cell Stem Cell,2015,424
"Fuesting, Melissa",226,2,Melissa,Fuesting,female,Frontiers in Psychology,2017,425
"Fuesting, Melissa",226,2,Melissa,Fuesting,female,Personality and Social Psychology Bulletin,2017,426
"Fuesting, Melissa",472,1,Melissa,Fuesting,female,Frontiers in Psychology,2017,425
"Fuesting, Melissa",472,1,Melissa,Fuesting,female,Personality and Social Psychology Bulletin,2017,426
"Furse, Cynthia",458,3,Cynthia,Furse,female,Journal of Career Assessment,2013,427
"Fuselier, Linda",513,1,Linda,Fuselier,female,Journal of Baltic Science Education,2010,428
"Gagnon, Janelle",133,2,Janelle,Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,431
"Gagnon, Janelle",133,2,Janelle,Gagnon,female,Community College Journal of Research & Practice,2012,429
"Gagnon, Janelle",133,2,Janelle,Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,430
"Gagnon, Janelle",387,2,Janelle,Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,431
"Gagnon, Janelle",387,2,Janelle,Gagnon,female,Community College Journal of Research & Practice,2012,429
"Gagnon, Janelle",387,2,Janelle,Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,430
"Gagnon, Janelle",132,2,Janelle,Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,431
"Gagnon, Janelle",132,2,Janelle,Gagnon,female,Community College Journal of Research & Practice,2012,429
"Gagnon, Janelle",132,2,Janelle,Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,430
"Galindo-Gonzalez, Sebastian",54,2,Sebastian,Galindo-Gonzalez,male,CBE Life Sciences Education,2016,1590
"Gallop, Shari",520,2,Shari,Gallop,female,Palgrave Communications,2018,432
"Ganley, Colleen",435,1,Colleen,Ganley,female,American Educational Research Journal,2018,433
"Garavalia, Linda",63,2,Linda,Garavalia,female,Leadership & Management in Engineering,2010,434
"Garcia, Donna",598,2,Donna,Garcia,female,Social Psychology of Education,2015,436
"Garcia, Donna",598,2,Donna,Garcia,female,Cultural diversity & ethnic minority psychology,2014,435
"Garcia, Donna",29,4,Donna,Garcia,female,Social Psychology of Education,2015,436
"Garcia, Donna",29,4,Donna,Garcia,female,Cultural diversity & ethnic minority psychology,2014,435
"Gardner, Wendi",329,2,Wendi,Gardner,female,Social Sciences,2018,437
"Garr-Schultz, Alexandra",329,1,Alexandra,Garr-Schultz,female,Social Sciences,2018,438
"Garvey, Jason",415,4,Jason,Garvey,male,Journal of Higher Education,2012,1591
"Gary, Shannon",568,7,Shannon,Gary,female,Research in Higher Education,2009,439
"Gasman, Marybeth",568,4,Marybeth,Gasman,female,Research in Higher Education,2009,440
"Gatz, Jennifer",90,1,Jennifer,Gatz,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,441
"Gauder, Heidi",219,1,Heidi,Gauder,female,Reference Services Review,2012,442
"Gaughan, Monica",500,1,Monica,Gaughan,female,Science Technology and Human Values,2018,443
"Gaule, Patrick",202,1,Patrick,Gaule,male,Research Policy,2018,1592
"Gayles, Joy",316,2,Joy,Gayles,female,Social Sciences,2018,446
"Gayles, Joy",316,2,Joy,Gayles,female,Journal of Higher Education,2014,444
"Gayles, Joy",316,2,Joy,Gayles,female,New Directions for Institutional Research,2011,445
"Gayles, Joy",304,1,Joy,Gayles,female,Social Sciences,2018,446
"Gayles, Joy",304,1,Joy,Gayles,female,Journal of Higher Education,2014,444
"Gayles, Joy",304,1,Joy,Gayles,female,New Directions for Institutional Research,2011,445
"Gayles, Joy",416,1,Joy,Gayles,female,Social Sciences,2018,446
"Gayles, Joy",416,1,Joy,Gayles,female,Journal of Higher Education,2014,444
"Gayles, Joy",416,1,Joy,Gayles,female,New Directions for Institutional Research,2011,445
"Geary, David",481,2,David,Geary,male,Psychological Science,2018,1593
"Geber, Hilary",347,1,Hilary,Geber,female,International Journal of Evidence Based Coaching & Mentoring,2011,447
"Geisinger, Brandi",145,1,Brandi,Geisinger,female,International Journal of Engineering Education,2013,448
"Gelbgiser, Dafna",515,3,Dafna,Gelbgiser,female,Sociological Science,2017,450
"Gelbgiser, Dafna",515,3,Dafna,Gelbgiser,female,Social science research,2013,449
"Gelbgiser, Dafna",208,2,Dafna,Gelbgiser,female,Sociological Science,2017,450
"Gelbgiser, Dafna",208,2,Dafna,Gelbgiser,female,Social science research,2013,449
"Gelles, Laura",85,1,Laura,Gelles,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,451
"George-Jackson, Casey",466,3,Casey,George-Jackson,male,New Directions for Student Services,2013,1599
"George-Jackson, Casey",466,3,Casey,George-Jackson,male,Journal of Women and Minorities in Science and Engineering,2011,1597
"George-Jackson, Casey",466,3,Casey,George-Jackson,male,"Journal of College Student Retention: Research, Theory and Practice",2018,1596
"George-Jackson, Casey",466,3,Casey,George-Jackson,male,NASPA Journal About Women in Higher Education,2014,1598
"George-Jackson, Casey",466,3,Casey,George-Jackson,male,Journal of College Student Development,2016,1595
"George-Jackson, Casey",424,1,Casey,George-Jackson,male,New Directions for Student Services,2013,1599
"George-Jackson, Casey",424,1,Casey,George-Jackson,male,Journal of Women and Minorities in Science and Engineering,2011,1597
"George-Jackson, Casey",424,1,Casey,George-Jackson,male,"Journal of College Student Retention: Research, Theory and Practice",2018,1596
"George-Jackson, Casey",424,1,Casey,George-Jackson,male,NASPA Journal About Women in Higher Education,2014,1598
"George-Jackson, Casey",424,1,Casey,George-Jackson,male,Journal of College Student Development,2016,1595
"George-Jackson, Casey",127,1,Casey,George-Jackson,male,New Directions for Student Services,2013,1599
"George-Jackson, Casey",127,1,Casey,George-Jackson,male,Journal of Women and Minorities in Science and Engineering,2011,1597
"George-Jackson, Casey",127,1,Casey,George-Jackson,male,"Journal of College Student Retention: Research, Theory and Practice",2018,1596
"George-Jackson, Casey",127,1,Casey,George-Jackson,male,NASPA Journal About Women in Higher Education,2014,1598
"George-Jackson, Casey",127,1,Casey,George-Jackson,male,Journal of College Student Development,2016,1595
"George-Jackson, Casey",310,2,Casey,George-Jackson,male,New Directions for Student Services,2013,1599
"George-Jackson, Casey",310,2,Casey,George-Jackson,male,Journal of Women and Minorities in Science and Engineering,2011,1597
"George-Jackson, Casey",310,2,Casey,George-Jackson,male,"Journal of College Student Retention: Research, Theory and Practice",2018,1596
"George-Jackson, Casey",310,2,Casey,George-Jackson,male,NASPA Journal About Women in Higher Education,2014,1598
"George-Jackson, Casey",310,2,Casey,George-Jackson,male,Journal of College Student Development,2016,1595
"George-Jackson, Casey",606,2,Casey,George-Jackson,male,New Directions for Student Services,2013,1599
"George-Jackson, Casey",606,2,Casey,George-Jackson,male,Journal of Women and Minorities in Science and Engineering,2011,1597
"George-Jackson, Casey",606,2,Casey,George-Jackson,male,"Journal of College Student Retention: Research, Theory and Practice",2018,1596
"George-Jackson, Casey",606,2,Casey,George-Jackson,male,NASPA Journal About Women in Higher Education,2014,1598
