author,fname,lname,gender,pubtitle,date,id,pubtype
"Kappler, Christa",Christa, Kappler,female,Journal of Educational Research,2014,1258,journal
"Kern, Christel",Christel,Kern,female,BioScience,2015,1056,journal
"McGeorge, Christi",Christi, McGeorge,female,Journal of Women and Minorities in Science and Engineering,2012,387,journal
"Schunn, Christian",Christian, Schunn,male,International Journal of Science Education,2018,1251,journal
"Moyer, Christina",Christina, Moyer,female,Cultural diversity & ethnic minority psychology,2014,85,journal
"Dyar, Christina",Christina, Dyar,female,CBE Life Sciences Education,2016,185,journal
"Outlay, Christina",Christina,Outlay,female,ACM Transactions on Computing Education,2017,351,journal
"Weber, Christina",Christina,Weber,female,International Review of Qualitative Research,2012,1871,journal
"Sanzari, Christina",Christina, Sanzari,female,Sex Roles,2018,1765,journal
"Torres-Rouff, Christina",Christina, Torres-Rouff,female,American Journal of Physical Anthropology,2018,870,journal
"Melki, Christina",Christina, Melki,female,Science Education,2014,917,journal
"Chapman, Christina",Christina, Chapman,female,Advances in Radiation Oncology,2018,505,journal
"Mattley, Christine",Christine, Mattley,female,Advances in Gender Research,2014,688,journal
"Mummery, Christine",Christine, Mummery,female,Cell Stem Cell,2015,467,journal
"Logel, Christine",Christine, Logel,female,Journal of educational psychology,2015,154,journal
"Starr, Christine",Christine,Starr,female,Psychology of Women Quarterly,2018,1470,journal
"Shenouda, Christine",Christine,Shenouda,female,International Review of Social Psychology,2014,1865,journal
"Buschor, Christine",Christine,Buschor,female,Journal of Educational Research,2014,1254,journal
"Runyon, Christopher",Christopher, Runyon,male,CBE Life Sciences Education,2017,193,journal
"Wegemer, Christopher",Christopher,Wegemer,male,Journal of Vocational Behavior,2018,610,journal
"Stripling, Christopher",Christopher, Stripling,male,Journal of Agricultural Education,2013,20,journal
"Rozek, Christopher",Christopher, Rozek,male,Sex Roles,2017,1779,journal
"Brooks, Christopher",Christopher, Brooks,male,Learning Communities: Research & Practice,2016,711,journal
"Glass, Christy",Christy,Glass,female,Journal of Diversity in Higher Education,2010,128,journal
"Meadowbrooke, Chrysta",Chrysta, Meadowbrooke,NA,Journal of Medical Internet Research,2013,853,journal
"Heeren, Cinda",Cinda, Heeren,NA,Frontiers in Psychology,2017,763,journal
"Hmelo-Silver, Cindy",Cindy, Hmelo-Silver,female,Journal of Science Education and Technology,2016,1676,journal
"DeBlaere, Cirleen",Cirleen, DeBlaere,NA,Journal of Counseling Psychology,2015,96,journal
"Ballen, Cissy",Cissy, Ballen,NA,PLoS ONE,2018,1158,journal
"Ballen, Cissy",Cissy,Ballen,NA,BioScience,2018,1059,journal
"Ballen, Cissy",Cissy,Ballen,NA,PLoS ONE,2017,1133,journal
"Wilson, Claire",Claire, Wilson,female,Journal of Science Education and Technology,2017,1664,journal
"Robbins, Claire",Claire, Robbins,female,Journal of Higher Education,2012,1281,journal
"Pomeroy, Claire",Claire, Pomeroy,female,Cell Stem Cell,2015,471,journal
"Wladis, Claire",Claire,Wladis,female,Community College Review,2015,1331,journal
"Wladis, Claire",Claire,Wladis,female,Computers & Education,2015,530,journal
"Richardson, Clarissa M.",Clarissa M., Richardson,NA,Journal of vocational behavior,2013,622,journal
"Rankins, Claudia",Claudia, Rankins,female,New Directions for Higher Education,2013,932,journal
"Rankins, Claudia",Claudia,Rankins,female,Peer Review,2014,361,journal
"Cooperman, Claudia",Claudia, Cooperman,female,Psychology of Women Quarterly,2018,1497,journal
"Herman, Clem",Clem,Herman,male,Journal of Education & Work,2015,1253,journal
"Carrigan, Coleen",Coleen,Carrigan,female,Journal of Technology Transfer,2017,1696,journal
"Carrigan, Coleen",Coleen, Carrigan,female,Journal of Women and Minorities in Science and Engineering,2007,421,journal
"Carrigan, Coleen",Coleen,Carrigan,female,Journal of Diversity in Higher Education,2011,130,journal
"Ganley, Colleen",Colleen,Ganley,female,American Educational Research Journal,2018,1308,journal
"Ruud, Collin",Collin,Ruud,male,"Journal of College Student Retention: Research, Theory and Practice",2018,1405,journal
"Mineo, Concetta",Concetta, Mineo,female,Psychology of Women Quarterly,2013,1500,journal
"McNeely, Connie",Connie,McNeely,female,Review of Policy Research,2010,1943,journal
"McNeely, Connie",Connie, McNeely,female,Review of Policy Research,2010,1946,journal
"McNeely, Connie",Connie, McNeely,female,Review of Policy Research,2009,1948,journal
"Adame, Consolación",Consolación,Adame,NA,Journal of Business Research,2016,568,journal
"Columb, Corey",Corey, Columb,male,Sex Roles,2018,1759,journal
"Bargmann, Cori",Cori, Bargmann,female,Cell Stem Cell,2015,451,journal
"Moss-Racusin, Corinne",Corinne,Moss-Racusin,female,Sex Roles,2018,1764,journal
"Moss-Racusin, Corinne",Corinne,Moss-Racusin,female,Psychology of Women Quarterly,2015,1471,journal
"Boushel, Corra",Corra, Boushel,female,Science Communication,2017,1527,journal
"Moss-Racusin, Corrinne",Corrinne,Moss-Racusin,female,Journal of Experimental Psychology: Applied,2018,157,journal
"Bahrim, Cristian",Cristian, Bahrim,male,Journal of Science Education and Technology,2016,1668,journal
"Lopez, Cristina",Cristina,Lopez,female,Social Sciences,2018,995,journal
"Martin, Cristopher",Cristopher, Martin,male,Journal of Science Education and Technology,2016,1672,journal
"Hoyt, Crystal",Crystal,Hoyt,female,Leadership Quarterly,2016,640,journal
"Deville, Curtiland",Curtiland, Deville,NA,Advances in Radiation Oncology,2018,512,journal
"Anderson, Cynthia",Cynthia,Anderson,female,Advances in Gender Research,2014,687,journal
"Winston-Proctor, Cynthia",Cynthia, Winston-Proctor,female,Review of Research in Education,2018,1521,journal
"Ricard, Cynthia",Cynthia, Ricard,female,Journal of Research Administration,2011,1573,journal
"Martin, Cynthia",Cynthia, Martin,female,Gender Issues,2011,1626,journal
"Furse, Cynthia",Cynthia, Furse,female,Journal of Career Assessment,2013,1378,journal
"Young, Cynthia",Cynthia, Young,female,Journal of College Student Retention-Research Theory & Practice,2016,1412,journal
"Stanich, Cynthia",Cynthia,Stanich,female,Chemistry Education Research and Practice,2018,1187,journal
"Raman, D. Raj",D. Raj, Raman,NA,International Journal of Engineering Education,2013,495,journal
"Anderson, D.A.",D.A., Anderson,NA,Group Processes and Intergroup Relations,2018,1362,journal
"Oyler, D.L.",D.L., Oyler,NA,Group Processes and Intergroup Relations,2018,1358,journal
"Tierney, D.N.",D.N., Tierney,NA,Group Processes and Intergroup Relations,2018,1361,journal
"Gelbgiser, Dafna",Dafna, Gelbgiser,female,Sociological Science,2017,1568,journal
"Gelbgiser, Dafna",Dafna, Gelbgiser,female,Social science research,2013,675,journal
"Martinez, Dalinda",Dalinda, Martinez,female,Change,2015,1194,journal
"Grunspan, Daniel",Daniel,Grunspan,male,PLoS ONE,2016,1136,journal
"Robinson, Daniel",Daniel, Robinson,male,Journal of Veterinary Medical Education,2009,1879,journal
"Glaser, Daniela",Daniela, Glaser,female,Social Sciences,2017,1001,journal
"Ramo, Danielle",Danielle, Ramo,female,Journal of Medical Internet Research,2018,849,journal
"Abraham, Danielle",Danielle, Abraham,female,Social Sciences,2017,1003,journal
"Bitterman, Danielle",Danielle, Bitterman,female,Advances in Radiation Oncology,2018,507,journal
"Morales, Danielle",Danielle,Morales,female,Science Education,2018,899,journal
"Myers, Dante",Dante,Myers,male,Career Development Quarterly,2017,1911,journal
"Myers, Dante",Dante, Myers,male,Career Development Quarterly,2015,1910,journal
"Ireland, Danyelle",Danyelle,Ireland,female,Review of Research in Education,2018,1519,journal
"Pedersen, Daphne",Daphne,Pedersen,female,Sociological Focus,2018,1299,journal
"Pedersen, Daphne",Daphne,Pedersen,female,Journal of Feminist Family Therapy,2017,1259,journal
"Ronan, Darcy",Darcy, Ronan,female,Journal of Research in Science Teaching,2017,884,journal
"Smith, Daryl",Daryl,Smith,male,Studies in Higher Education,2017,1303,journal
"Blustein, David",David,Blustein,male,Journal of Career Development,2013,1390,journal
"Renz, David",David, Renz,male,Leadership & Management in Engineering,2010,222,journal
"Miller, David",David,Miller,male,Learning and Individual Differences,2013,642,journal
"Ober, David",David, Ober,male,School Science and Mathematics,2015,921,journal
"Bristol, David",David,Bristol,male,Journal of the American Veterinary Medical Association,2011,339,journal
"MacPhee, David",David,MacPhee,male,Analyses of Social Issues and Public Policy,2013,1886,journal
"Miller, David",David, Miller,male,Perspectives on Psychological Science,2016,1453,journal
"Koonce, David",David, Koonce,male,Advances in Gender Research,2014,690,journal
"Kniola, David",David,Kniola,male,Higher Education,2012,1631,journal
"Berg, David",David, Berg,male,Cell Stem Cell,2015,452,journal
"Geary, David",David, Geary,male,Psychological Science,2018,1462,journal
"Miller, David",David,Miller,male,Frontiers in psychology,2015,765,journal
"Blustein, David",David, Blustein,male,Journal of Science Education and Technology,2016,1683,journal
"Lindbo, David",David, Lindbo,male,Soil Science Society of America Journal,2018,1581,journal
"Reed, David",David, Reed,male,Horttechnology,2014,212,journal
"Weindorf, David",David, Weindorf,male,Soil Science Society of America Journal,2018,1583,journal
"Dawley, David",David,Dawley,male,Forensic Science Policy & Management: An International Journal,2014,1845,journal
"Marx, David",David, Marx,male,Sex Roles,2013,1782,journal
"Johnson, Dawn",Dawn,Johnson,female,Journal of College Student Development,2012,1855,journal
"Johnson, Dawn",Dawn,Johnson,female,New Directions for Institutional Research,2011,952,journal
"Weintraub, Dayna",Dayna, Weintraub,female,Research in Higher Education,2016,1742,journal
"Chakraborty, Debolina",Debolina, Chakraborty,NA,Agronomy Journal,2017,218,journal
"Ward, Deborah",Deborah, Ward,female,Personality and Social Psychology Bulletin,2018,1436,journal
"Olsen, Deborah",Deborah, Olsen,female,Higher Education,2012,1633,journal
"O'Bannon, Deborah",Deborah,O'Bannon,female,Leadership & Management in Engineering,2010,220,journal
"Easterly, Debra",Debra,Easterly,female,Journal of Research Administration,2011,1572,journal
"Major, Debra",Debra, Major,female,Career Development Quarterly,2010,1905,journal
"Major, Debra",Debra, Major,female,Career Development Quarterly,2015,1907,journal
"Major, Debra",Debra, Major,female,Career Development Quarterly,2017,1912,journal
"Wassenberg, Deena",Deena, Wassenberg,female,BioScience,2018,1063,journal
"Sharma, Deepika",Deepika, Sharma,female,International Journal of Information and Communication Technology Education (IJICTE),2017,791,journal
"Rice, Delores",Delores,Rice,female,Journal of STEM Education : Innovations and Research,2014,799,journal
"Evangelou, Demetra",Demetra, Evangelou,female,Motivation and Emotion,2012,1710,journal
"Dortch, Deniece",Deniece,Dortch,NA,NASPA Journal About Women in Higher Education,2017,1288,journal
"Wilson, Denise",Denise,Wilson,female,Journal of Women and Minorities in Science and Engineering,2015,376,journal
"Sekaquaptewa, Denise",Denise, Sekaquaptewa,female,Psychology of Women Quarterly,2016,1507,journal
"Sekaquaptewa, Denise",Denise, Sekaquaptewa,female,Social Psychology of Education,2013,1827,journal
"DeBay, Dennis",Dennis, DeBay,male,Journal of Career Development,2013,1400,journal
"Epple, Dennis",Dennis, Epple,male,American Economic Review,2016,49,journal
"Reidy, Dennis",Dennis, Reidy,male,Journal of Womens Health,2016,1021,journal
"Leung, Desmond",Desmond, Leung,male,Industrial and Organizational Psychology,2018,446,journal
"Bilimoria, Diana",Diana, Bilimoria,female,Career Development International,2013,692,journal
"Bilimoria, Diana",Diana, Bilimoria,female,Frontiers in Psychology,2017,772,journal
"Bilimoria, Diana",Diana, Bilimoria,female,Frontiers in Psychology,2014,760,journal
"Betz, Diana",Diana, Betz,female,Social Psychology of Education,2013,1826,journal
"Halpern, Diane",Diane, Halpern,female,Learning and Individual Differences,2013,643,journal
"Rowland, Diane",Diane, Rowland,female,Agronomy Journal,2017,219,journal
"Morin, Diane",Diane, Morin,female,International Journal of Mentoring and Coaching in Education,2015,702,journal
"Lukas, Dieter",Dieter, Lukas,male,PLoS ONE,2018,1185,journal
"Sarathchandra, Dilshani",Dilshani,Sarathchandra,NA,Social Sciences,2018,971,journal
"Jackson, Dimitra",Dimitra,Jackson,female,New Directions for Institutional Research,2011,950,journal
"Jackson, Dimitra",Dimitra,Jackson,female,The Journal of Negro Education,2013,789,journal
"Jackson, Dimitra",Dimitra,Jackson,female,New Directions for Higher Education,2013,938,journal
"Jackson, Dimitra",Dimitra,Jackson,female,Community College Enterprise,2013,1558,journal
"Verdin, Dina",Dina,Verdin,female,Social Sciences,2018,987,journal
"Tumin, Dmitry",Dmitry, Tumin,male,Demographic Research,2016,1027,journal
"Prime, Dominic",Dominic,Prime,male,Journal of Career Assessment,2015,1380,journal
"Polkowska, Dominika",Dominika,Polkowska,female,Journal of technology management & innovation,2013,1870,journal
"Gruenbacher, Don",Don,Gruenbacher,male,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,804,journal
"Davis, Don",Don, Davis,male,Journal of Counseling Psychology,2015,95,journal
"Whalen, Donald",Donald,Whalen,male,Journal of STEM Education : Innovations and Research,2010,797,journal
"Ginther, Donna",Donna, Ginther,female,Frontiers in psychology,2015,726,journal
"Huryn, Donna",Donna,Huryn,female,ACS Medicinal Chemistry Letters,2017,354,journal
"Sayman, Donna",Donna,Sayman,female,Journal of Latinos & Education,2013,1284,journal
"Milgram, Donna",Donna,Milgram,female,Technology and Engineering Teacher,2011,842,journal
"Ginther, Donna",Donna, Ginther,female,Psychological Science in the Public Interest,2014,1467,journal
"Reese, Donna",Donna, Reese,female,Communications of the Association for Information Systems,2018,839,journal
"Garcia, Donna",Donna, Garcia,female,Cultural diversity & ethnic minority psychology,2014,79,journal
"Garcia, Donna",Donna, Garcia,female,Social Psychology of Education,2015,1832,journal
"Thoman, Dustin",Dustin,Thoman,male,Psychology of Women Quarterly,2013,1509,journal
"Thoman, Dustin",Dustin,Thoman,male,Sex Roles,2008,1817,journal
"Plant, E. Ashby",E. Ashby, Plant,NA,Sex Roles,2018,1756,journal
"Iskander, E. Tiffany",E. Tiffany,Iskander,NA,Journal of Career Assessment,2013,1376,journal
"McClellan, E.M.",E.M., McClellan,NA,Group Processes and Intergroup Relations,2018,1360,journal
"Sullivan, E.T.",E.T., Sullivan,NA,Group Processes and Intergroup Relations,2018,1359,journal
"McGee, Ebony",Ebony,McGee,female,Cognition and Instruction,2017,1201,journal
"Comeaux, Eddie",Eddie,Comeaux,male,Journal of Science Education and Technology,2017,1691,journal
"Venator, Edmond",Edmond, Venator,male,Chinese Sociological Review,2016,1199,journal
"Lemon, Edmond",Edmond, Lemon,male,PLoS ONE,2018,1171,journal
"Freeland, Edward",Edward, Freeland,male,Science,2014,26,journal
"Kokkelenberg, Edward",Edward,Kokkelenberg,male,Economics of Education Review,2010,562,journal
"Wille, Eike",Eike, Wille,NA,Journal of educational psychology,2017,139,journal
"Zurbriggen, Eileen",Eileen, Zurbriggen,female,Emerging Adulthood,2018,1341,journal
"Parsons, Eileen",Eileen, Parsons,female,Science Education,2018,898,journal
"Fuchs, Elaine",Elaine, Fuchs,female,Cell Stem Cell,2015,459,journal
"Scott, Elaine",Elaine, Scott,female,Journal of Women and Minorities in Science and Engineering,2015,378,journal
"Yakura, Elaine",Elaine, Yakura,female,Women's Studies,2008,1854,journal
"Godfrey, Elaine",Elaine, Godfrey,female,PLoS ONE,2017,1148,journal
"Makarova, Elena",Elena,Makarova,female,Empirical Research in Vocational Education and Training,2016,1617,journal
"Brown, Elizabeth",Elizabeth, Brown,female,Personality and Social Psychology Review,2017,1447,journal
"Kersey, Elizabeth",Elizabeth,Kersey,female,Psychology of Mathematics & Education of North America,2016,834,journal
"Gunderson, Elizabeth",Elizabeth,Gunderson,female,Sex Roles,2011,1798,journal
"Adamowicz, Elizabeth",Elizabeth,Adamowicz,female,FEMS microbiology letters,2017,1078,journal
"Stearns, Elizabeth",Elizabeth, Stearns,female,Economics of Education Review,2015,555,journal
"Litzler, Elizabeth",Elizabeth, Litzler,female,Journal of Women and Minorities in Science and Engineering,2007,422,journal
"Stearns, Elizabeth",Elizabeth, Stearns,female,Social Currents,2016,1533,journal
"Brown, Elizabeth",Elizabeth, Brown,female,Psychological Science,2010,1458,journal
"Stearns, Elizabeth",Elizabeth, Stearns,female,International Journal of STEM Education,2018,1644,journal
"Corley, Elizabeth",Elizabeth, Corley,female,Social Science Journal,2009,671,journal
"Shanahan, Elizabeth",Elizabeth, Shanahan,female,Journal of Diversity in Higher Education,2017,107,journal
"Quinn, Elizabeth",Elizabeth, Quinn,female,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,821,journal
"Litzler, Elizabeth",Elizabeth,Litzler,female,Research in Higher Education,2014,1718,journal
"Litzler, Elizabeth",Elizabeth,Litzler,female,Journal of Women and Minorities in Science and Engineering,2018,374,journal
"Brown, Elizabeth",Elizabeth, Brown,female,Journal of personality and social psychology,2011,167,journal
"Blair, Elizabeth",Elizabeth,Blair,female,Journal of Engineering Education,2017,957,journal
"Paluck, Elizabeth",Elizabeth, Paluck,female,Social psychology quarterly,2015,1546,journal
"Kiebel, Elizabeth",Elizabeth, Kiebel,female,Psychology of Women Quarterly,2018,1496,journal
"Van Oosten, Ellen",Ellen,Van Oosten,female,Frontiers in Psychology,2017,770,journal
"Walker, Ellen",Ellen, Walker,female,Contemporary Educational Psychology,2018,544,journal
"Roskes, Ellen",Ellen, Roskes,female,Forum on Public Policy Online,2010,716,journal
"Theobald, Elli",Elli, Theobald,female,Chemistry Education Research and Practice,2018,1189,journal
"Hammer, Elliott",Elliott, Hammer,male,Cultural diversity & ethnic minority psychology,2014,80,journal
"Hammer, Elliott",Elliott, Hammer,male,Social Psychology of Education,2015,1835,journal
"Ruiz, Elsa",Elsa,Ruiz,female,New Directions for Higher Education,2013,934,journal
"Guisado-Pintado, Emilia",Emilia, Guisado-Pintado,female,Palgrave Communications,2018,1593,journal
"Miller, Emily",Emily, Miller,female,Educational Researcher,2018,1337,journal
"Ingalls, Emily",Emily, Ingalls,female,Sex Roles,2018,1750,journal
"Webb, Emily",Emily, Webb,female,PLoS ONE,2018,1176,journal
"MacLeod, Emily",Emily, MacLeod,female,Sex Roles,2017,1793,journal
"Goldman, Emily",Emily,Goldman,female,NASPA Journal About Women in Higher Education,2010,1292,journal
"Coyle, Emily",Emily, Coyle,female,Role of Gender in Educational Contexts and Outcomes,2014,666,journal
"Clark, Emily",Emily, Clark,female,Journal of personality and social psychology,2011,165,journal
"Middleton, Emily",Emily, Middleton,female,American Journal of Physical Anthropology,2018,867,journal
"Shaffer, Emily",Emily,Shaffer,female,Sex Roles,2013,1781,journal
"Clark, Emily",Emily, Clark,female,Personality and Social Psychology Review,2017,1449,journal
"Clark, Emily",Emily, Clark,female,Psychological Science,2010,1460,journal
"Agbenyega, Emily",Emily, Agbenyega,female,Contemporary Educational Psychology,2013,541,journal
"Fischer, Emily",Emily, Fischer,female,PLoS ONE,2017,1150,journal
"Griffith, Emily",Emily, Griffith,female,PLoS ONE,2017,1153,journal
"Clark, Emily",Emily, Clark,female,Social Issues and Policy Review,2018,1952,journal
"Aitkin, Emma",Emma, Aitkin,female,Computers & Education,2018,524,journal
"Holliday, Emma",Emma,Holliday,female,Advances in Radiation Oncology,2018,503,journal
"Szathmary, Emoke",Emoke, Szathmary,NA,American Journal of Physical Anthropology,2018,869,journal
"Bose, Enakshi",Enakshi, Bose,NA,Research in Higher Education,2009,1732,journal
"Grodsky, Eric",Eric, Grodsky,male,American Educational Research Journal,2012,1319,journal
"Brevik, Eric",Eric,Brevik,male,Soil Science Society of America Journal,2018,1577,journal
"Deemer, Eric",Eric,Deemer,male,Journal of Career Development,2015,1404,journal
"Triplett, Eric",Eric, Triplett,male,CBE Life Sciences Education,2016,183,journal
"Greenwald, Eric",Eric, Greenwald,male,Science Education,2014,910,journal
"Deemer, Eric",Eric,Deemer,male,Journal of Career Assessment,2012,1384,journal
"Deemer, Eric",Eric,Deemer,male,Career Development Quarterly,2014,1896,journal
"Walker, Erica",Erica, Walker,female,Journal of Negro Education,2012,788,journal
"Lynn, Erica",Erica, Lynn,female,Journal of Women and Minorities in Science and Engineering,2011,437,journal
"Walker, Erica",Erica, Walker,female,Journal of Women and Minorities in Science and Engineering,2011,425,journal
"Weisgram, Erica",Erica, Weisgram,female,Social Issues and Policy Review,2015,1955,journal
"Lynn, Erica",Erica, Lynn,female,Journal of Women and Minorities in Science and Engineering,2011,432,journal
"Kuiler, Erik",Erik, Kuiler,male,Review of Policy Research,2009,1949,journal
"Weisgram, Erika",Erika,Weisgram,female,Social Sciences,2017,1005,journal
"Hall, Erika",Erika, Hall,female,Journal of Research in Gender Studies,2016,9,journal
"Patall, Erika",Erika,Patall,female,Science Education,2018,902,journal
"Williams-Hatala, Erin",Erin, Williams-Hatala,female,American Journal of Physical Anthropology,2018,865,journal
"Cech, Erin",Erin,Cech,female,American Sociological Review,2011,1322,journal
"Chambers, Erin",Erin, Chambers,female,Frontiers in Psychology,2017,762,journal
"Cech, Erin",Erin, Cech,female,Cultural diversity & ethnic minority psychology,2014,82,journal
"Hennes, Erin",Erin, Hennes,female,Journal of Experimental Psychology: Applied,2018,159,journal
"Dolan, Erin",Erin, Dolan,female,CBE Life Sciences Education,2017,195,journal
"Reilly, Erin",Erin,Reilly,female,Journal of Career Development,2017,1401,journal
"McPherson, Erin",Erin,McPherson,female,Personality and Social Psychology Bulletin,2018,1438,journal
"Welch, Erin",Erin, Welch,female,Science Technology and Human Values,2018,1530,journal
"Horvat, Erin",Erin, Horvat,female,Contemporary Educational Psychology,2013,540,journal
"Hardin, Erin",Erin,Hardin,female,Journal of Counseling Psychology,2016,104,journal
"Vogel, Erin",Erin, Vogel,female,American Journal of Physical Anthropology,2018,873,journal
"McPherson, Erin",Erin,McPherson,female,Educational Psychology,2018,1224,journal
"Grogan, Erin",Erin, Grogan,female,Developmental psychology,2012,89,journal
"Cech, Erin",Erin, Cech,female,Work and Occupations,2018,1555,journal
"Cech, Erin",Erin,Cech,female,American Journal of Cultural Sociology,2018,1096,journal
"Afari, Ernest",Ernest, Afari,male,International Journal of Science and Mathematics Education,2016,1639,journal
"Davenport Jr, Ernest",Ernest, Davenport Jr,male,Measurement and Evaluation in Counseling and Development,2014,1427,journal
"Sinha, Esha",Esha, Sinha,female,Economics of Education Review,2010,563,journal
"Hoshino-Browne, Etsuko",Etsuko, Hoshino-Browne,NA,Journal of Women and Minorities in Science and Engineering,2017,417,journal
"Caplliure, Eva-María",Eva-María, Caplliure,NA,Journal of Business Research,2016,569,journal
"Davis, Evan",Evan, Davis,male,School Science and Mathematics,2016,924,journal
"Pietri, Evava",Evava, Pietri,NA,Journal of Experimental Psychology: Applied,2018,158,journal
"Pietri, Evava",Evava,Pietri,NA,Psychology of Women Quarterly,2018,1502,journal
"Pietri, Evava",Evava,Pietri,NA,Journal of experimental social psychology,2018,588,journal
"Riskin, Eve",Eve, Riskin,female,Journal of Technology Transfer,2017,1698,journal
"Riskin, Eve",Eve, Riskin,female,Journal of Diversity in Higher Education,2011,132,journal
"Riskin, Eve",Eve, Riskin,female,Journal of Women and Minorities in Science and Engineering,2007,423,journal
"Shishkova, Evgenia",Evgenia,Shishkova,female,Journal of the American Society for Mass Spectrometry,2017,1701,journal
"Miller, Evonne",Evonne, Miller,female,International Journal of Art & Design Education,2016,1924,journal
"Saclarides, Evthokia",Evthokia, Saclarides,NA,"Journal of College Student Retention: Research, Theory and Practice",2018,1406,journal
"Saclarides, Evthokia",Evthokia, Saclarides,NA,Educational Researcher,2018,1338,journal
"McPherson, Ezella",Ezella,McPherson,NA,Journal of Women and Minorities in Science and Engineering,2016,405,journal
"Ozgumus, Ezgi",Ezgi, Ozgumus,NA,Psychology of Women Quarterly,2018,1504,journal
"Ozgumus, Ezgi",Ezgi, Ozgumus,NA,Journal of experimental social psychology,2018,590,journal
"Visentin, Fabiana",Fabiana, Visentin,female,PLoS ONE,2015,1156,journal
"Backus, Faedra",Faedra, Backus,NA,Journal of Career Development,2013,1398,journal
"Rankins, Falcon",Falcon, Rankins,male,Peer Review,2014,362,journal
"Crosby, Faye",Faye, Crosby,female,Emerging Adulthood,2018,1342,journal
"Crosby, Faye",Faye, Crosby,female,Journal of Social Issues,2011,1940,journal
"Ye, Feifei",Feifei, Ye,NA,Frontiers in Psychology,2015,753,journal
"Thoemmes, Felix",Felix, Thoemmes,male,Frontiers in Psychology,2017,736,journal
"Danbold, Felix",Felix,Danbold,male,Journal of experimental social psychology,2017,586,journal
"Radicchi, Filippo",Filippo, Radicchi,male,PLoS Biology,2016,1121,journal
"Watt, Fiona",Fiona, Watt,female,Cell Stem Cell,2015,478,journal
"Watt, Fiona",Fiona, Watt,female,Cell Stem Cell,2015,449,journal
"Berman, Francine",Francine,Berman,female,Plos Biology,2015,1125,journal
"Vermeylen, Francoise",Francoise, Vermeylen,NA,Frontiers in Psychology,2017,738,journal
"Laanan, Frankie",Frankie, Laanan,male,New Directions for Higher Education,2013,940,journal
"Laanan, Frankie",Frankie, Laanan,male,New Directions for Institutional Research,2011,951,journal
"Jenkins, Fred",Fred, Jenkins,male,Reference Services Review,2012,709,journal
"Borgen, Fred",Fred, Borgen,male,Journal of Career Assessment,2017,1374,journal
"Smyth, Frederick",Frederick,Smyth,male,Frontiers in psychology,2015,754,journal
"Lopez, Frederick",Frederick, Lopez,male,Journal of vocational behavior,2013,621,journal
"Ampaw, Frim",Frim, Ampaw,NA,New Directions for Institutional Research,2011,942,journal
"Ampaw, Frim",Frim, Ampaw,NA,Journal of Higher Education,2014,1283,journal
"Ampaw, Frim",Frim, Ampaw,NA,Review of Higher Education,2017,1861,journal
"Forbes, G. Anne",G. Anne, Forbes,NA,Contemporary Educational Psychology,2018,545,journal
"Weaver, Gabriela",Gabriela, Weaver,female,Social Sciences,2017,985,journal
"Lucas, Gale",Gale, Lucas,NA,Computers & Education,2016,517,journal
"Sinatra, Gale",Gale, Sinatra,NA,Review of Educational Research,2018,1517,journal
"Orfield, Gary",Gary, Orfield,male,Harvard Educational Review,2011,781,journal
"Cohen, Geoff",Geoff, Cohen,NA,Psychology of Women Quarterly,2017,1489,journal
"Potvin, Geoff",Geoff, Potvin,NA,Social Sciences,2018,991,journal
"Knezek, Gerald",Gerald, Knezek,male,Journal of Science Education and Technology,2015,1658,journal
"Knezek, Gerald",Gerald, Knezek,male,Computers in Human Behavior,2014,534,journal
"Westerhuis, Gerarda",Gerarda, Westerhuis,NA,Small Business Economics,2018,1824,journal
"Ramirez, Gerardo",Gerardo, Ramirez,male,Sex Roles,2011,1799,journal
"Sonnert, Gerhard",Gerhard, Sonnert,male,Science Education,2012,913,journal
"Sonnert, Gerhard",Gerhard, Sonnert,male,Gender & Society,2011,1347,journal
"Sonnert, Gerhard",Gerhard, Sonnert,male,Journal of College Science Teaching,2013,1048,journal
"Sonnert, Gerhard",Gerhard, Sonnert,male,Journal of Women and Minorities in Science and Engineering,2017,413,journal
"Awad, Germine",Germine, Awad,NA,Journal of Career Development,2017,1403,journal
"Nehmeh, Ghada",Ghada,Nehmeh,female,Journal of Women and Minorities in Science and Engineering,2018,426,journal
"Faitar, Gheorghita",Gheorghita,Faitar,NA,Procedia - Social and Behavioral Sciences,2013,653,journal
"Stoet, Gijsbert",Gijsbert,Stoet,NA,Psychological Science,2018,1461,journal
"Jew, Gilbert",Gilbert, Jew,male,Measurement and Evaluation in Counseling and Development,2014,1426,journal
"Barabino, Gilda",Gilda, Barabino,female,Annals of Biomedical Engineering,2010,1612,journal
"Sandstrom, Gillian",Gillian, Sandstrom,female,PLoS ONE,2018,1186,journal
"Roussos, Gina",Gina, Roussos,female,Journal of Experimental Psychology: Applied,2018,162,journal
"Ruether, Gina",Gina, Ruether,female,Computers & Education,2016,519,journal
"Badini, Giovani",Giovani, Badini,male,PLoS ONE,2018,1167,journal
"Kersaint, Gladis",Gladis, Kersaint,female,Journal of Science Education and Technology,2016,1688,journal
"Flores, Glenda",Glenda,Flores,female,Latino Studies,2011,1099,journal
