author,id.x,position,fname,lname,gender,pubtitle,date,id.y
"Dasgupta, Nilanjana",51,2,Nilanjana, Dasgupta,NA,Proceedings of the National Academy of Sciences of the United States of America,2017,1032
"Dasgupta, Nilanjana",337,2,Nilanjana, Dasgupta,NA,Social Sciences,2017,984
"Dasgupta, Nilanjana",337,2,Nilanjana, Dasgupta,NA,Journal of personality and social psychology,2011,170
"Dasgupta, Nilanjana",337,2,Nilanjana, Dasgupta,NA,Proceedings of the National Academy of Sciences of the United States of America,2017,1032
"Dasoki, Nora",215,4,Nora, Dasoki,female,International Journal of Mentoring and Coaching in Education,2015,699
"Davenport Jr, Ernest",470,3,Ernest, Davenport Jr,male,Measurement and Evaluation in Counseling and Development,2014,1427
"Davidson, Travis",614,1,Travis,Davidson,male,University of Ottawa Journal of Medicine,2015,1875
"Davis, Don",33,3,Don, Davis,male,Journal of Counseling Psychology,2015,95
"Davis, Evan",294,3,Evan, Davis,male,School Science and Mathematics,2016,924
"Davis, Lydia",88,5,Lydia, Davis,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,304
"Davis, Rebecca",107,1,Rebecca,Davis,female,Journal of Education for Library and Information Science,2014,357
"Davis, Tim",60,3,Tim, Davis,male,Horttechnology,2014,211
"Davison, Mark",470,1,Mark,Davison,male,Measurement and Evaluation in Counseling and Development,2014,1425
"Dawley, David",602,1,David,Dawley,male,Forensic Science Policy & Management: An International Journal,2014,1845
"Dawson, Amy",302,1,Amy,Dawson,female,New Directions for Higher Education,2015,935
"DeBay, Dennis",463,11,Dennis, DeBay,male,Journal of Career Development,2013,1400
"DeBlaere, Cirleen",33,4,Cirleen, DeBlaere,NA,Journal of Counseling Psychology,2015,96
"Deemer, Eric",465,1,Eric,Deemer,male,Career Development Quarterly,2014,1896
"Deemer, Eric",465,1,Eric,Deemer,male,Journal of Career Assessment,2012,1384
"Deemer, Eric",465,1,Eric,Deemer,male,Journal of Career Development,2015,1404
"Deemer, Eric",460,1,Eric,Deemer,male,Career Development Quarterly,2014,1896
"Deemer, Eric",460,1,Eric,Deemer,male,Journal of Career Assessment,2012,1384
"Deemer, Eric",460,1,Eric,Deemer,male,Journal of Career Development,2015,1404
"Deemer, Eric",623,1,Eric,Deemer,male,Career Development Quarterly,2014,1896
"Deemer, Eric",623,1,Eric,Deemer,male,Journal of Career Assessment,2012,1384
"Deemer, Eric",623,1,Eric,Deemer,male,Journal of Career Development,2015,1404
"Degen, Cassandra",70,6,Cassandra, Degen,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,253
"Degol, Jessica",527,2,Jessica, Degol,female,Developmental Review,2013,549
"Degol, Jessica",527,2,Jessica, Degol,female,Educational Psychology Review,2017,1616
"Degol, Jessica",527,2,Jessica, Degol,female,Frontiers in Psychology,2015,752
"Degol, Jessica",233,2,Jessica, Degol,female,Developmental Review,2013,549
"Degol, Jessica",233,2,Jessica, Degol,female,Educational Psychology Review,2017,1616
"Degol, Jessica",233,2,Jessica, Degol,female,Frontiers in Psychology,2015,752
"Degol, Jessica",159,2,Jessica, Degol,female,Developmental Review,2013,549
"Degol, Jessica",159,2,Jessica, Degol,female,Educational Psychology Review,2017,1616
"Degol, Jessica",159,2,Jessica, Degol,female,Frontiers in Psychology,2015,752
"Dehghani, Morteza",151,4,Morteza, Dehghani,NA,Computers & Education,2016,518
"DeLaine, Kendra",498,4,Kendra, DeLaine,female,Review of Research in Education,2018,1522
"Delgado-Fernandez, Irene",520,6,Irene, Delgado-Fernandez,female,Palgrave Communications,2018,1592
"Dell, Elizabeth",96,3,Elizabeth, Dell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2015,325
"Dell, Elizabeth",96,3,Elizabeth,Dell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,242
"Dell, Elizabeth",69,1,Elizabeth, Dell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2015,325
"Dell, Elizabeth",69,1,Elizabeth,Dell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,242
"Demetry, Chrysanthe",65,1,Chrysanthe,Demetry,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,228
"Dennehy, Tara",337,1,Tara,Dennehy,female,Proceedings of the National Academy of Sciences of the United States of America,2017,1031
"Denson, Nida",572,2,Nida, Denson,female,Research in Higher Education,2013,1745
"Depot, Mark",463,4,Mark, Depot,male,Journal of Career Development,2013,1393
"Desai, Anand",522,3,Anand, Desai,male,Innovative Higher Education,2015,1604
"Deville, Curtiland",149,10,Curtiland, Deville,NA,Advances in Radiation Oncology,2018,512
"DeWitt, Jen",585,4,Jen, DeWitt,male,Sex Roles,2017,1792
"DeWitt, Jennifer.",436,4,Jennifer., DeWitt,NA,American Educational Research Journal,2017,1315
"Di Stefano, Marialusia",85,3,Marialusia, Di Stefano,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,293
"Diaz, Ismael",118,2,Ismael, Diaz,male,Journal of Women and Minorities in Science and Engineering,2017,390
"DiBartolo, Patricia Marten",59,8,Patricia Marten, DiBartolo,NA,Cell Biology Education,2017,208
"Dickinson, Sarah",140,3,Sarah, Dickinson,female,Contemporary Issues in Education Research,2011,486
"Dickson, Nancy",86,2,Nancy, Dickson,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,295
"Diekman, Amanda",326,2,Amanda,Diekman,female,Psychological Science,2010,1457
"Diekman, Amanda",326,2,Amanda, Diekman,female,Personality and Social Psychology Bulletin,2017,1433
"Diekman, Amanda",326,2,Amanda,Diekman,female,Social Issues and Policy Review,2015,1954
"Diekman, Amanda",326,2,Amanda, Diekman,female,Frontiers in Psychology,2017,729
"Diekman, Amanda",326,2,Amanda, Diekman,female,Social Sciences,2017,1006
"Diekman, Amanda",326,2,Amanda,Diekman,female,Social Issues and Policy Review,2018,1951
"Diekman, Amanda",326,2,Amanda,Diekman,female,Personality and Social Psychology Review,2017,1445
"Diekman, Amanda",326,2,Amanda,Diekman,female,Journal of personality and social psychology,2011,164
"Diekman, Amanda",50,1,Amanda,Diekman,female,Psychological Science,2010,1457
"Diekman, Amanda",50,1,Amanda, Diekman,female,Personality and Social Psychology Bulletin,2017,1433
"Diekman, Amanda",50,1,Amanda,Diekman,female,Social Issues and Policy Review,2015,1954
"Diekman, Amanda",50,1,Amanda, Diekman,female,Frontiers in Psychology,2017,729
"Diekman, Amanda",50,1,Amanda, Diekman,female,Social Sciences,2017,1006
"Diekman, Amanda",50,1,Amanda,Diekman,female,Social Issues and Policy Review,2018,1951
"Diekman, Amanda",50,1,Amanda,Diekman,female,Personality and Social Psychology Review,2017,1445
"Diekman, Amanda",50,1,Amanda,Diekman,female,Journal of personality and social psychology,2011,164
"Diekman, Amanda",480,1,Amanda,Diekman,female,Psychological Science,2010,1457
"Diekman, Amanda",480,1,Amanda, Diekman,female,Personality and Social Psychology Bulletin,2017,1433
"Diekman, Amanda",480,1,Amanda,Diekman,female,Social Issues and Policy Review,2015,1954
"Diekman, Amanda",480,1,Amanda, Diekman,female,Frontiers in Psychology,2017,729
"Diekman, Amanda",480,1,Amanda, Diekman,female,Social Sciences,2017,1006
"Diekman, Amanda",480,1,Amanda,Diekman,female,Social Issues and Policy Review,2018,1951
"Diekman, Amanda",480,1,Amanda,Diekman,female,Personality and Social Psychology Review,2017,1445
"Diekman, Amanda",480,1,Amanda,Diekman,female,Journal of personality and social psychology,2011,164
"Diekman, Amanda",472,2,Amanda,Diekman,female,Psychological Science,2010,1457
"Diekman, Amanda",472,2,Amanda, Diekman,female,Personality and Social Psychology Bulletin,2017,1433
"Diekman, Amanda",472,2,Amanda,Diekman,female,Social Issues and Policy Review,2015,1954
"Diekman, Amanda",472,2,Amanda, Diekman,female,Frontiers in Psychology,2017,729
"Diekman, Amanda",472,2,Amanda, Diekman,female,Social Sciences,2017,1006
"Diekman, Amanda",472,2,Amanda,Diekman,female,Social Issues and Policy Review,2018,1951
"Diekman, Amanda",472,2,Amanda,Diekman,female,Personality and Social Psychology Review,2017,1445
"Diekman, Amanda",472,2,Amanda,Diekman,female,Journal of personality and social psychology,2011,164
"Diekman, Amanda",226,3,Amanda,Diekman,female,Psychological Science,2010,1457
"Diekman, Amanda",226,3,Amanda, Diekman,female,Personality and Social Psychology Bulletin,2017,1433
"Diekman, Amanda",226,3,Amanda,Diekman,female,Social Issues and Policy Review,2015,1954
"Diekman, Amanda",226,3,Amanda, Diekman,female,Frontiers in Psychology,2017,729
"Diekman, Amanda",226,3,Amanda, Diekman,female,Social Sciences,2017,1006
"Diekman, Amanda",226,3,Amanda,Diekman,female,Social Issues and Policy Review,2018,1951
"Diekman, Amanda",226,3,Amanda,Diekman,female,Personality and Social Psychology Review,2017,1445
"Diekman, Amanda",226,3,Amanda,Diekman,female,Journal of personality and social psychology,2011,164
"Diekman, Amanda",643,1,Amanda,Diekman,female,Psychological Science,2010,1457
"Diekman, Amanda",643,1,Amanda, Diekman,female,Personality and Social Psychology Bulletin,2017,1433
"Diekman, Amanda",643,1,Amanda,Diekman,female,Social Issues and Policy Review,2015,1954
"Diekman, Amanda",643,1,Amanda, Diekman,female,Frontiers in Psychology,2017,729
"Diekman, Amanda",643,1,Amanda, Diekman,female,Social Sciences,2017,1006
"Diekman, Amanda",643,1,Amanda,Diekman,female,Social Issues and Policy Review,2018,1951
"Diekman, Amanda",643,1,Amanda,Diekman,female,Personality and Social Psychology Review,2017,1445
"Diekman, Amanda",643,1,Amanda,Diekman,female,Journal of personality and social psychology,2011,164
"Diekman, Amanda",476,1,Amanda,Diekman,female,Psychological Science,2010,1457
"Diekman, Amanda",476,1,Amanda, Diekman,female,Personality and Social Psychology Bulletin,2017,1433
"Diekman, Amanda",476,1,Amanda,Diekman,female,Social Issues and Policy Review,2015,1954
"Diekman, Amanda",476,1,Amanda, Diekman,female,Frontiers in Psychology,2017,729
"Diekman, Amanda",476,1,Amanda, Diekman,female,Social Sciences,2017,1006
"Diekman, Amanda",476,1,Amanda,Diekman,female,Social Issues and Policy Review,2018,1951
"Diekman, Amanda",476,1,Amanda,Diekman,female,Personality and Social Psychology Review,2017,1445
"Diekman, Amanda",476,1,Amanda,Diekman,female,Journal of personality and social psychology,2011,164
"Diekman, Amanda",644,1,Amanda,Diekman,female,Psychological Science,2010,1457
"Diekman, Amanda",644,1,Amanda, Diekman,female,Personality and Social Psychology Bulletin,2017,1433
"Diekman, Amanda",644,1,Amanda,Diekman,female,Social Issues and Policy Review,2015,1954
"Diekman, Amanda",644,1,Amanda, Diekman,female,Frontiers in Psychology,2017,729
"Diekman, Amanda",644,1,Amanda, Diekman,female,Social Sciences,2017,1006
"Diekman, Amanda",644,1,Amanda,Diekman,female,Social Issues and Policy Review,2018,1951
"Diekman, Amanda",644,1,Amanda,Diekman,female,Personality and Social Psychology Review,2017,1445
"Diekman, Amanda",644,1,Amanda,Diekman,female,Journal of personality and social psychology,2011,164
"Dilli, Selin",595,1,Selin,Dilli,female,Small Business Economics,2018,1823
"Dillon-Lieberman, Kristin",463,10,Kristin, Dillon-Lieberman,female,Journal of Career Development,2013,1399
"DiPrete, Thomas",211,2,Thomas, DiPrete,male,Social science research,2013,686
"Dissanayake, Kalpani",83,4,Kalpani, Dissanayake,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,284
"Doerschuk, Peggy",546,1,Peggy,Doerschuk,female,Journal of Science Education and Technology,2016,1667
"Dolan, Erin",56,8,Erin, Dolan,female,CBE Life Sciences Education,2017,195
"Dolliver, Holly",519,4,Holly, Dolliver,female,Soil Science Society of America Journal,2018,1580
"Domingo, Carmen",103,5,Carmen, Domingo,female,ACM Conference on Innovation and Technology in Computer Science Education,2018,348
"Dorph, Rena",406,1,Rena,Dorph,female,International Journal of Science Education,2018,1249
"Dortch, Deniece",420,1,Deniece,Dortch,NA,NASPA Journal About Women in Higher Education,2017,1288
"Doty, Heather",76,1,Heather,Doty,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,263
"Dovidio, John",49,4,John, Dovidio,male,Journal of Experimental Psychology: Applied,2018,160
"Drake, Abby Grace",350,4,Abby Grace, Drake,NA,BioScience,2018,1062
"Dresden, Alexander",330,2,Alexander, Dresden,male,Social Sciences,2018,1014
"Dresden, Brooke",330,1,Brooke,Dresden,female,Social Sciences,2018,1013
"Drew, Jennifer",54,1,Jennifer,Drew,female,CBE Life Sciences Education,2016,180
"Drezner, Noah",568,3,Noah, Drezner,male,Research in Higher Education,2009,1729
"Drury, Benjamin",502,4,Benjamin, Drury,male,Psychology of Women Quarterly,2013,1482
"Drury, Benjamin",502,4,Benjamin,Drury,male,Psychological Inquiry,2011,1114
"Drury, Benjamin",502,4,Benjamin, Drury,male,Social Psychological and Personality Science,2011,1538
"Drury, Benjamin",367,1,Benjamin, Drury,male,Psychology of Women Quarterly,2013,1482
"Drury, Benjamin",367,1,Benjamin,Drury,male,Psychological Inquiry,2011,1114
"Drury, Benjamin",367,1,Benjamin, Drury,male,Social Psychological and Personality Science,2011,1538
"Drury, Benjamin",488,2,Benjamin, Drury,male,Psychology of Women Quarterly,2013,1482
"Drury, Benjamin",488,2,Benjamin,Drury,male,Psychological Inquiry,2011,1114
"Drury, Benjamin",488,2,Benjamin, Drury,male,Social Psychological and Personality Science,2011,1538
"Duan, Xiaoju",154,2,Xiaoju, Duan,NA,Computers & Education,2013,526
"Duch, Jordi",368,2,Jordi, Duch,male,PLoS Biology,2016,1118
"Dugan, John",279,1,John,Dugan,male,Journal of Leadership Studies,2013,875
"Dulac, Catherine",136,9,Catherine, Dulac,female,Cell Stem Cell,2015,455
"Dunlap, Sarah",586,2,Sarah, Dunlap,female,Sex Roles,2016,1796
"Dupont, Brandon",174,3,Brandon, Dupont,male,Journal of Economic Psychology,2008,577
"Duran, Kelly",358,4,Kelly, Duran,female,Social Cognitive and Affective Neuroscience,2018,1089
"Durmowicz, Meredith",221,2,Meredith, Durmowicz,female,Forum on Public Policy Online,2010,715
"Durodoye, Raifu",375,2,Raifu, Durodoye,NA,PLoS ONE,2017,1152
"Dutt, Manjul",205,1,Manjul,Dutt,NA,Scientia Horticulturae,2018,667
"Dyar, Christina",55,2,Christina, Dyar,female,CBE Life Sciences Education,2016,185
"Eagleston,",261,2,, Eagleston,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,815
"Eagly, Alice",478,1,Alice,Eagly,female,Perspectives on Psychological Science,2016,1452
"Easterly, Debra",517,1,Debra,Easterly,female,Journal of Research Administration,2011,1572
"Eastwick, Paul",634,3,Paul, Eastwick,male,Journal of Applied Social Psychology,2016,1927
"Eby, Lillian",56,7,Lillian, Eby,female,CBE Life Sciences Education,2017,194
"Eccles, Jacquelynne",185,2,Jacquelynne, Eccles,NA,Journal of Vocational Behavior,2018,611
"Eccles, Jacquelynne",185,2,Jacquelynne, Eccles,NA,Psychological Science,2013,1455
"Eccles, Jacquelynne",185,2,Jacquelynne,Eccles,NA,International Journal of Behavioral Development,2016,1366
"Eccles, Jacquelynne",454,1,Jacquelynne, Eccles,NA,Journal of Vocational Behavior,2018,611
"Eccles, Jacquelynne",454,1,Jacquelynne, Eccles,NA,Psychological Science,2013,1455
"Eccles, Jacquelynne",454,1,Jacquelynne,Eccles,NA,International Journal of Behavioral Development,2016,1366
"Eccles, Jacquelynne",479,2,Jacquelynne, Eccles,NA,Journal of Vocational Behavior,2018,611
"Eccles, Jacquelynne",479,2,Jacquelynne, Eccles,NA,Psychological Science,2013,1455
"Eccles, Jacquelynne",479,2,Jacquelynne,Eccles,NA,International Journal of Behavioral Development,2016,1366
"Eddy, Sarah",373,2,Sarah,Eddy,female,Physical Review Physics Education Research,2016,57
"Eddy, Sarah",373,2,Sarah, Eddy,female,PLoS ONE,2016,1137
"Eddy, Sarah",23,1,Sarah,Eddy,female,Physical Review Physics Education Research,2016,57
"Eddy, Sarah",23,1,Sarah, Eddy,female,PLoS ONE,2016,1137
"Edge, W. Daniel",332,1,W. Daniel,Edge,NA,Mammal Study,2016,1018
"Edinger-Marshall, Susan",519,10,Susan, Edinger-Marshall,female,Soil Science Society of America Journal,2018,1586
"Edwards, Laura",22,4,Laura, Edwards,female,Bulletin of the American Meteorological Society,2013,56
"Edzie, Rosemary",143,1,Rosemary,Edzie,female,7th IEEE GCC Conference and Exhibition (GCC),2015,491
"Eggan, Kevin",136,10,Kevin, Eggan,male,Cell Stem Cell,2015,456
"Ehrlinger, Joyce",576,1,Joyce,Ehrlinger,female,Sex Roles,2018,1755
"Eisenhart, Margaret",419,2,Margaret, Eisenhart,female,Journal of the Learning Sciences,2017,1287
"El-Hout, Mona",491,4,Mona, El-Hout,female,Psychology of Women Quarterly,2018,1495
"Eledge, Bradley",378,10,Bradley, Eledge,male,PLoS ONE,2018,1169
"Ellis, Jessica",379,1,Jessica,Ellis,female,PLoS ONE,2016,1180
"Ellis, Mark",601,2,Mark, Ellis,male,Economic Geography,2017,1843
"Else-Quest, Nicole",492,1,Nicole,Else-Quest,female,Psychology of Women Quarterly,2013,1499
"Elton, Sarah",277,7,Sarah, Elton,female,American Journal of Physical Anthropology,2018,863
"Engberg, Mark",146,1,Mark,Engberg,male,Teachers College Record,2013,496
"Enns, Kellie",8,1,Kellie,Enns,female,Journal of Agricultural Education,2015,15
"Eno, Cassie",580,3,Cassie, Eno,female,Sex Roles,2015,1815
"Eno, Cassie",580,3,Cassie, Eno,female,Sex Roles,2017,1773
"Eno, Cassie",591,4,Cassie, Eno,female,Sex Roles,2015,1815
"Eno, Cassie",591,4,Cassie, Eno,female,Sex Roles,2017,1773
"Epple, Dennis",20,2,Dennis, Epple,male,American Economic Review,2016,49
"Erickson, Alan",99,2,Alan, Erickson,male,Journal of the American Veterinary Medical Association,2012,338
"Erpen, Ligia",205,2,Ligia, Erpen,female,Scientia Horticulturae,2018,668
"Ertl, Bernhard",239,1,Bernhard,Ertl,NA,Frontiers in Psychology,2017,767
"Escobar-Alvarez, Sindy",136,11,Sindy, Escobar-Alvarez,female,Cell Stem Cell,2015,457
"Espinosa, Lorelle",244,1,Lorelle,Espinosa,female,Harvard Educational Review,2011,782
"Espinosa, Lorelle",244,1,Lorelle, Espinosa,female,Harvard Educational Review,2011,780
"Espinosa, Lorelle",243,3,Lorelle,Espinosa,female,Harvard Educational Review,2011,782
"Espinosa, Lorelle",243,3,Lorelle, Espinosa,female,Harvard Educational Review,2011,780
"Esson, Joan",404,3,Joan, Esson,male,International Journal of Science Education,2018,1245
"Esteves, Luciana",520,4,Luciana, Esteves,female,Palgrave Communications,2018,1590
"Estrada, Mica",46,4,Mica, Estrada,female,Journal of educational psychology,2013,147
"Evangelou, Demetra",559,3,Demetra, Evangelou,female,Motivation and Emotion,2012,1710
"Evans, Mara",56,5,Mara, Evans,female,CBE Life Sciences Education,2017,192
"Evans, Riley",603,1,Riley,Evans,female,PRIMUS,2018,1848
"Fabert, Natalie",319,4,Natalie, Fabert,female,Social Sciences,2018,981
"Fabiyi, Camille",545,3,Camille, Fabiyi,female,Journal of Science Education and Technology,2017,1662
"Fague, M.A.",453,8,M.A., Fague,NA,Group Processes and Intergroup Relations,2018,1364
"Faitar, Gheorghita",199,1,Gheorghita,Faitar,NA,Procedia - Social and Behavioral Sciences,2013,653
"Faitar, Silviu",199,2,Silviu, Faitar,NA,Procedia - Social and Behavioral Sciences,2013,654
"Falconer, Heather",281,3,Heather, Falconer,female,Journal of Research in Science Teaching,2017,885
"Falk, Nikki",457,1,Nikki,Falk,female,Journal of Career Assessment,2017,1371
"Fane, Kathleen",275,2,Kathleen, Fane,female,Journal of Medical Internet Research,2018,844
"Fang, Michael",101,2,Michael, Fang,male,Annual Review of Sociology,2015,341
"Farrell, Lynn",172,1,Lynn,Farrell,female,Journal of Contextual Behavioral Science,2017,571
"Farro, Samantha",620,2,Samantha, Farro,female,Analyses of Social Issues and Public Policy,2013,1887
"Fath, Kimberly",279,2,Kimberly, Fath,female,Journal of Leadership Studies,2013,876
"Fautch, Jessica",18,2,Jessica, Fautch,female,Journal of chemical education,2015,42
"Faux, Russell",28,6,Russell, Faux,male,Advances in Physiology Education,2014,74
"Feeney, Mary",357,1,Mary,Feeney,female,Science & Public Policy,2014,1083
"Feeney, Mary",357,1,Mary,Feeney,female,Scientometrics,2010,10
"Feeney, Mary",6,1,Mary,Feeney,female,Science & Public Policy,2014,1083
"Feeney, Mary",6,1,Mary,Feeney,female,Scientometrics,2010,10
"Feghali-Bostwick, Carol",324,4,Carol, Feghali-Bostwick,female,Social Sciences,2018,998
"Ferree, Myra",618,2,Myra, Ferree,female,"Gender, Work and Organization",2018,1883
"Figuereido, Catia",190,6,Catia, Figuereido,female,Journal of vocational behavior,2013,634
"Finkel, Liza",555,1,Liza,Finkel,female,Journal of Science Education and Technology,2017,1695
"Finkelstein, Noah",489,3,Noah, Finkelstein,male,Psychology of Women Quarterly,2017,1486
"Fischer, Emily",374,9,Emily, Fischer,female,PLoS ONE,2017,1150
"Fischer, Mary",600,2,Mary, Fischer,female,Social Psychology of Education,2012,1841
"Fischer, Stefanie",192,1,Stefanie,Fischer,female,Labour Economics,2017,639
"Fitzpatrick, Mary",190,3,Mary, Fitzpatrick,female,Journal of vocational behavior,2013,631
"Flammang, B.J.",453,9,B.J., Flammang,NA,Group Processes and Intergroup Relations,2018,1365
"Flores, Glenda",362,1,Glenda,Flores,female,Latino Studies,2011,1099
"Flores, Lisa",179,2,Lisa, Flores,female,Journal of vocational behavior,2015,592
"Flowers III, Alonzo",217,1,Alonzo,Flowers III,male,Journal for Multicultural Education,2016,705
"Flowers, Alonzo",402,2,Alonzo, Flowers,male,International Journal of Qualitative Studies in Education,2018,1239
"Fogg-Rogers, Laura",499,1,Laura,Fogg-Rogers,female,Science Communication,2017,1525
"Foor, Ryan",10,1,Ryan,Foor,male,Journal of Agricultural Education,2011,21
"Forbes, Chad",358,1,Chad,Forbes,male,Social Cognitive and Affective Neuroscience,2018,1086
"Forbes, G. Anne",158,4,G. Anne, Forbes,NA,Contemporary Educational Psychology,2018,545
"Forrest, John",111,3,John, Forrest,male,Academic Medicine,2018,368
"Fosdick, Bailey",379,2,Bailey, Fosdick,female,PLoS ONE,2016,1181
"Fossati, Valentina",136,12,Valentina, Fossati,female,Cell Stem Cell,2015,458
"Fouad, Nadya",461,1,Nadya, Fouad,female,Journal of vocational behavior,2013,630
"Fouad, Nadya",461,1,Nadya,Fouad,female,Journal of Career Assessment,2017,1387
"Fouad, Nadya",461,1,Nadya,Fouad,female,Journal of vocational behavior,2016,597
"Fouad, Nadya",190,2,Nadya, Fouad,female,Journal of vocational behavior,2013,630
"Fouad, Nadya",190,2,Nadya,Fouad,female,Journal of Career Assessment,2017,1387
"Fouad, Nadya",190,2,Nadya,Fouad,female,Journal of vocational behavior,2016,597
"Fouad, Nadya",181,1,Nadya, Fouad,female,Journal of vocational behavior,2013,630
"Fouad, Nadya",181,1,Nadya,Fouad,female,Journal of Career Assessment,2017,1387
"Fouad, Nadya",181,1,Nadya,Fouad,female,Journal of vocational behavior,2016,597
"Fox, Mary Frank",448,1,Mary Frank,Fox,NA,Gender & Society,2011,1346
"Franchetti, Matthew",257,1,Matthew,Franchetti,male,Journal of STEM Education : Innovations and Research,2010,801
"Francis, Becky",436,3,Becky,Francis,female,Sex Roles,2017,1789
"Francis, Becky",436,3,Becky, Francis,female,American Educational Research Journal,2017,1314
"Francis, Becky",585,1,Becky,Francis,female,Sex Roles,2017,1789
"Francis, Becky",585,1,Becky, Francis,female,American Educational Research Journal,2017,1314
"Francisco, Matthew",548,4,Matthew, Francisco,male,Journal of Science Education and Technology,2016,1678
"Frasch, Karie",440,3,Karie, Frasch,female,Annals of the American Academy of Political and Social Science,2011,1328
"Freeland, Edward",11,4,Edward, Freeland,male,Science,2014,26
"Freeman, Jen",287,3,Jen, Freeman,male,Science Education,2018,904
"Freeman, Kimberly",498,2,Kimberly, Freeman,female,Review of Research in Education,2018,1520
"Freeman, Scott",381,4,Scott, Freeman,male,Chemistry Education Research and Practice,2018,1190
"Freese, Shelby",80,2,Shelby, Freese,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,275
"Friedman, Hershey",4,2,Hershey, Friedman,NA,Journal of Research in Gender Studies,2018,6
"Friedman, Jane",603,2,Jane, Friedman,female,PRIMUS,2018,1849
"Froyd, Jeffrey",66,2,Jeffrey, Froyd,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,231
"Fry, Nancy",468,4,Nancy, Fry,female,Journal of Psychoeducational Assessment,2012,1416
"Fuchs, Elaine",136,13,Elaine, Fuchs,female,Cell Stem Cell,2015,459
"Fuesting, Melissa",226,2,Melissa,Fuesting,female,Personality and Social Psychology Bulletin,2017,1432
"Fuesting, Melissa",226,2,Melissa, Fuesting,female,Frontiers in Psychology,2017,728
"Fuesting, Melissa",472,1,Melissa,Fuesting,female,Personality and Social Psychology Bulletin,2017,1432
"Fuesting, Melissa",472,1,Melissa, Fuesting,female,Frontiers in Psychology,2017,728
"Furse, Cynthia",458,3,Cynthia, Furse,female,Journal of Career Assessment,2013,1378
"Fuselier, Linda",513,1,Linda,Fuselier,female,Journal of Baltic Science Education,2010,1559
"Gagnon, Janelle",132,2,Janelle, Gagnon,female,Community College Journal of Research & Practice,2012,1207
"Gagnon, Janelle",132,2,Janelle, Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,434
"Gagnon, Janelle",132,2,Janelle, Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,429
"Gagnon, Janelle",133,2,Janelle, Gagnon,female,Community College Journal of Research & Practice,2012,1207
"Gagnon, Janelle",133,2,Janelle, Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,434
"Gagnon, Janelle",133,2,Janelle, Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,429
"Gagnon, Janelle",387,2,Janelle, Gagnon,female,Community College Journal of Research & Practice,2012,1207
"Gagnon, Janelle",387,2,Janelle, Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,434
"Gagnon, Janelle",387,2,Janelle, Gagnon,female,Journal of Women and Minorities in Science and Engineering,2011,429
"Galindo-Gonzalez, Sebastian",54,2,Sebastian, Galindo-Gonzalez,male,CBE Life Sciences Education,2016,181
"Gallop, Shari",520,2,Shari, Gallop,female,Palgrave Communications,2018,1588
"Ganley, Colleen",435,1,Colleen,Ganley,female,American Educational Research Journal,2018,1308
"Garavalia, Linda",63,2,Linda, Garavalia,female,Leadership & Management in Engineering,2010,221
"Garcia, Donna",598,2,Donna, Garcia,female,Cultural diversity & ethnic minority psychology,2014,79
"Garcia, Donna",598,2,Donna, Garcia,female,Social Psychology of Education,2015,1832
"Garcia, Donna",29,4,Donna, Garcia,female,Cultural diversity & ethnic minority psychology,2014,79
"Garcia, Donna",29,4,Donna, Garcia,female,Social Psychology of Education,2015,1832
"Gardner, Wendi",329,2,Wendi, Gardner,female,Social Sciences,2018,1012
"Garr-Schultz, Alexandra",329,1,Alexandra,Garr-Schultz,female,Social Sciences,2018,1011
"Garvey, Jason",415,4,Jason, Garvey,male,Journal of Higher Education,2012,1280
"Gary, Shannon",568,7,Shannon, Gary,female,Research in Higher Education,2009,1733
"Gasman, Marybeth",568,4,Marybeth, Gasman,female,Research in Higher Education,2009,1730
"Gatz, Jennifer",90,1,Jennifer,Gatz,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,310
"Gauder, Heidi",219,1,Heidi,Gauder,female,Reference Services Review,2012,708
"Gaughan, Monica",500,1,Monica,Gaughan,female,Science Technology and Human Values,2018,1528
"Gaule, Patrick",202,1,Patrick,Gaule,male,Research Policy,2018,661
"Gayles, Joy",316,2,Joy,Gayles,female,Journal of Higher Education,2014,1282
"Gayles, Joy",316,2,Joy,Gayles,female,New Directions for Institutional Research,2011,941
